"key","contexto","uso","es","en"
"t_bded7b8cd821","2daParte:Acto3/Arbol/LilithEntregarPertenencias (+110)","Nombre de hablante","Lilith","Lilith"
"t_372ca8e43108","2daParte:Acto3/Arbol/LilithEntregarPertenencias","Dialogo","Has entregado el peluche de Amara y el lazo de NIra","You handed over Amara's stuffed toy and Nira's ribbon"
"t_684775c996d2","2daParte:Acto3/Arbol/LilithEntregarPertenencias","Dialogo","Iré a mi habitación, solo quiero dormir","I'll go to my room, I just want to sleep"
"t_631180ac6d94","2daParte:Acto3/Biblioteca/OrrenLilithBiblioteca (+5)","Nombre de hablante","Orren","Orren"
"t_fb7dec5c65fd","2daParte:Acto3/Biblioteca/OrrenLilithBiblioteca","Dialogo","¿Lilith? Estaba buscando un libro nuevo. Hay algunos que me brindan nuevas técnicas para la costura.","Lilith? I was looking for a new book. Some of them give me new techniques for sewing."
"t_984fc028ed3b","2daParte:Acto3/Biblioteca/OrrenLilithBiblioteca","Dialogo","Hola, Orren. Te buscaba para recoger algo de tela, para un regalo. Me envía Lin","Hi, Orren. I was looking for you to pick up some cloth, for a gift. Lin sent me"
"t_1f3bf84cea49","2daParte:Acto3/Biblioteca/OrrenLilithBiblioteca","Dialogo","Ah, sí, sí, claro. Recuerdo lo que me pidió, para su hijo, ¿verdad? Aquí tengo la tela que buscas.","Ah, yes, yes, of course. I remember what he asked me for, for his son, right? I have the cloth you're after right here."
"t_dfd599bbab54","2daParte:Acto3/Biblioteca/OrrenLilithBiblioteca","Dialogo","Muchas gracias Orren!","Thank you so much Orren!"
"t_3ca35e1101f0","2daParte:Acto3/Canvas/BacklogPanel/Header/Explicación","Etiqueta de interfaz","Pulsa en cada personaje para ver las conversaciones que has tenido con ellos durante el juego.","Click on a character to read the conversations you have had with them."
"t_f3e573404df4","2daParte:Acto3/Canvas/BacklogPanel/Header/TitleText","Etiqueta de interfaz","BACKLOG","BACKLOG"
"t_adf74ae46589_710b","2daParte:Acto3/Canvas/ChoicePanel/ChoicesContainer/ChoiceButton (1)/Text (TMP)","Etiqueta de interfaz","RESPUESTA","ANSWER"
"t_adf74ae46589","2daParte:Acto3/Canvas/ChoicePanel/ChoicesContainer/ChoiceButton/Text (TMP)","Etiqueta de interfaz","RESPUESTA","ANSWER"
"t_adf74ae46589_5b2f","2daParte:Acto3/Canvas/ChoicePanel/ChoicesContainer/ChoiceButton/Text (TMP)","Etiqueta de interfaz","RESPUESTA","ANSWER"
"t_aba2d75cf84c","2daParte:Acto3/Canvas/MenuDePausa/Panel/Opciones/Text (TMP)","Etiqueta de interfaz","AJUSTES","SETTINGS"
"t_5b5bc18006fb","2daParte:Acto3/Canvas/MenuDePausa/Panel/Reanudar/Text (TMP)","Etiqueta de interfaz","REANUDAR","RESUME"
"t_c81ad1fb72c1","2daParte:Acto3/Canvas/MenuDePausa/Panel/Salir/Text (TMP)","Etiqueta de interfaz","SALIR","QUIT"
"t_1058f2bd50fa","2daParte:Acto3/Canvas/NotasPanel/FondoNegroOverlay/Text (TMP)","Etiqueta de interfaz","Pulsa F para completar o salir","Press F to complete or exit"
"t_a0509b778062","2daParte:Acto3/Canvas/PanelAvisoPadre/PanelAviso/No/Text (TMP)","Etiqueta de interfaz","NO","NO"
"t_83a9dc0a7ea2","2daParte:Acto3/Canvas/PanelAvisoPadre/PanelAviso/Si/Text (TMP)","Etiqueta de interfaz","SÍ","YES"
"t_8fce3f19c16c","2daParte:Acto3/Canvas/PanelAvisoPadre/PanelAviso/Texto Aviso 1","Etiqueta de interfaz","¿SEGURO QUE QUIERES SALIR?","ARE YOU SURE YOU WANT TO QUIT?"
"t_afd2373de0c2","2daParte:Acto3/Canvas/PanelAvisoPadre/PanelAviso/Texto Aviso 2","Etiqueta de interfaz","LA PARTIDA SE GUARDARÁ AUTOMÁTICAMENTE","THE GAME WILL SAVE AUTOMATICALLY"
"t_3fcb25a2f5ab","2daParte:Acto3/Canvas/PuzzleCajas/CanvasCajas/Panel/ResetButton/Text (TMP)","Etiqueta de interfaz","REINICIAR","RESTART"
"t_ffc80045ca1b","2daParte:Acto3/Canvas/PuzzleCajas/CanvasCajas/Panel/Text (TMP)","Etiqueta de interfaz","MUEVE LAS CAJAS PARA LIBERAR A NUBE","MOVE THE CRATES TO FREE NUBE"
"t_76983a552300","2daParte:Acto3/Canvas/PuzzleCajas/GridManager (+2)","Mensaje de puzle","¡Puzzle completado!","Puzzle solved!"
"t_c4d009e25600","2daParte:Acto3/Canvas/Volumen/TextoVolumen","Etiqueta de interfaz","VOLUMEN","VOLUME"
"t_84a715a785a9","2daParte:Acto3/Canvas/Volumen/TextoVolver","Etiqueta de interfaz","Volver","Back"
"t_00c7c6565704","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/AmaraLilithCasas (+7)","Nombre de hablante","Amara","Amara"
"t_98f50aba5c51","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/AmaraLilithCasas","Dialogo","LILITH, ¡¡¡¡¿TIENES UN MOMENTO?!!!","LILITH, DO YOU HAVE A MOMENT?!!!"
"t_3d99bdd8affe","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/AmaraLilithCasas","Dialogo","Es que creo que he perdido a mi conejo Nube. No lo encuentro por ninguna parte","It's just that I think I've lost my rabbit Nube. I can't find him anywhere"
"t_f26b3ad0f03d","2daParte:Acto3/Casas/Casas1AntesDeInvernadero/AmaraLilithCasas","Dialogo","Es muy importante para mi y para el bebé.","He means so much to me and to the baby."
